item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Miss Calculation,1.0,500.0,500.0,2025-12-17,Construction,2nd Floor,74.0
1/2 wood,100.0,100.0,10000.0,2025-12-05,Roof Concreting,2nd Floor,74.25
1/2 Wood Transport ,1.0,1000.0,1000.0,2025-12-05,Roof Concreting,2nd Floor,74.25
Concrete Nail 2 1/2 in,5.0,200.0,1000.0,2025-12-05,Roof Concreting,2nd Floor,74.25
Concrete Nail 2 in,45.0,30.0,1350.0,2025-12-05,Roof Concreting,2nd Floor,74.25
1/2 Wood,35.0,100.0,3500.0,2025-12-06,Roof Concreting,2nd Floor,74.25
1/6 Wood,2.0,350.0,700.0,2025-12-06,Roof Concreting,2nd Floor,74.25
Wood Transport ,1.0,500.0,500.0,2025-12-06,Roof Concreting,2nd Floor,74.25
Carpenter Sana Payment ,1.0,15000.0,15000.0,2025-12-06,Roof Concreting,2nd Floor,74.25
2/3 Wood Rental,350.0,5.0,52500.0,2025-12-13,Roof Concreting,2nd Floor,74.25
Nail(pkg),17.0,100.0,1700.0,2025-12-13,Roof Concreting,2nd Floor,74.25
Materials Transport ,4.0,2500.0,10000.0,2025-12-13,Roof Concreting,2nd Floor,74.25
Carpenter Sana Payment ,1.0,5000.0,5000.0,2025-12-23,Roof Concreting,2nd Floor,74.25
Arcojack Rental,400.0,2.5,27000.0,2025-12-15,Roof Concreting,2nd Floor,74.25
Generator Repair ,1.0,600.0,600.0,2025-12-17,Roof Concreting,2nd Floor,74.25
Generator Transport ,2.0,300.0,600.0,2025-12-17,Roof Concreting,2nd Floor,74.25
Gas for Generator ,1.0,500.0,500.0,2025-12-17,Roof Concreting,2nd Floor,74.25
Plywood Rental ,65.0,20.0,32500.0,2025-12-18,Roof Concreting,2nd Floor,74.25
Nail(kg),8.0,100.0,800.0,2025-12-20,Roof Concreting,2nd Floor,74.25
Plywood 12mm,30.0,1700.0,51000.0,2025-12-22,Roof Concreting,2nd Floor,74.25
Arcojack Rental,50.0,2.5,400.0,2025-12-22,Roof Concreting,2nd Floor,74.25
Materials Transport ,1.0,2000.0,2000.0,2025-12-22,Roof Concreting,2nd Floor,74.25
Iron Rod 10mm,500.0,330.0,165000.0,2025-12-23,Roof Concreting,2nd Floor,74.25
Iron Rod 12mm,30.0,500.0,15000.0,2025-12-23,Roof Concreting,2nd Floor,74.25
Iron Rod 6mm,35.0,130.0,4550.0,2025-12-23,Roof Concreting,2nd Floor,74.25
Binding Wire,3.0,400.0,1200.0,2025-12-23,Roof Concreting,2nd Floor,74.25
Materials Transport ,1.0,5000.0,5000.0,2025-12-23,Roof Concreting,2nd Floor,74.25
Carpenter Sana Payment ,1.0,5000.0,5000.0,2025-12-23,Roof Concreting,2nd Floor,74.25
Iron Man Payment,1.0,11000.0,11000.0,2025-12-23,Roof Concreting,2nd Floor,74.25
Wave Transfer Fee,1.0,110.0,110.0,2025-12-23,Roof Concreting,2nd Floor,74.25
Plywood 12mm,12.0,1700.0,20400.0,2025-12-24,Roof Concreting,2nd Floor,74.25
Plywood Transport ,1.0,500.0,500.0,2025-12-24,Roof Concreting,2nd Floor,74.25
10m Rope ,1.0,500.0,500.0,2025-12-24,Roof Concreting,2nd Floor,74.25
Poly,1.0,200.0,200.0,2025-12-24,Roof Concreting,2nd Floor,74.25
Plumbing Materials ,1.0,19132.0,19000.0,2025-12-26,Roof Concreting,2nd Floor,74.1
Materials Transport ,1.0,300.0,300.0,2025-12-26,Roof Concreting,2nd Floor,74.1
Plywood 12mm,10.0,1700.0,17000.0,2025-12-26,Roof Concreting,2nd Floor,74.1
Cardboard ,2.0,400.0,800.0,2025-12-26,Roof Concreting,2nd Floor,74.1
Materials Transport ,1.0,300.0,300.0,2025-12-26,Roof Concreting,2nd Floor,74.1
Electrical Materials,1.0,12475.0,12475.0,2025-12-26,Roof Concreting,2nd Floor,74.1
Electrical Material Transport ,1.0,300.0,300.0,2025-12-26,Roof Concreting,2nd Floor,74.1
Wash Stone,3.0,14000.0,42000.0,2025-12-26,Roof Concreting,2nd Floor,74.1
Asphalt 19cu,1.0,94500.0,94500.0,2025-12-26,Roof Concreting,2nd Floor,74.1
Sand,2.0,8000.0,16000.0,2025-12-26,Roof Concreting,2nd Floor,74.1
Buba Tunkara,1.0,8000.0,8000.0,2025-12-26,Roof Concreting,2nd Floor,74.1
Nail(Box) 2in,25.0,30.0,750.0,2025-12-27,Roof Concreting,2nd Floor,74.1
Nails,1.0,1200.0,1200.0,2025-12-27,Roof Concreting,2nd Floor,74.1
Arcojack Rental,25.0,2.5,1000.0,2025-12-27,Roof Concreting,2nd Floor,74.1
2/3 Wood Rental,30.0,5.0,2400.0,2025-12-27,Roof Concreting,2nd Floor,74.1
Materials Transport ,1.0,600.0,600.0,2025-12-27,Roof Concreting,2nd Floor,74.1
1/6 Wood,18.0,375.0,6750.0,2025-12-27,Roof Concreting,2nd Floor,74.1
1/2 Wood,2.0,100.0,200.0,2025-12-27,Roof Concreting,2nd Floor,74.1
Acrojack Transport ,1.0,350.0,350.0,2025-12-27,Roof Concreting,2nd Floor,74.1
Electrician ,1.0,9000.0,9000.0,2025-12-27,Roof Concreting,2nd Floor,74.1
Electrical Materials,2.0,500.0,1000.0,2025-12-28,Roof Concreting,2nd Floor,74.1
Electrical Material ,1.0,3100.0,3100.0,2025-12-29,Roof Concreting,2nd Floor,74.0
Electrical Material Transport ,1.0,300.0,300.0,2025-12-29,Roof Concreting,2nd Floor,74.0
Binding Wire(Roll),1.0,500.0,500.0,2025-12-29,Roof Concreting,2nd Floor,74.0
Adjusting the Pillars ,1.0,1000.0,1000.0,2025-12-29,Roof Concreting,2nd Floor,74.0
Iron Man Payment,1.0,11000.0,11000.0,2025-12-29,Roof Concreting,2nd Floor,74.0
Plumber ,1.0,16000.0,16000.0,2025-12-29,Roof Concreting,2nd Floor,74.0
Ali Clearly pathway ,1.0,1000.0,1000.0,2025-12-29,Roof Concreting,2nd Floor,74.0
Cement ,364.0,480.0,174720.0,2025-12-29,Roof Concreting,2nd Floor,74.0
Cement Transport ,364.0,20.0,7280.0,2025-12-29,Roof Concreting,2nd Floor,74.0
1/2 Wood,10.0,100.0,1000.0,2025-12-30,Roof Concreting,2nd Floor,74.0
1/2 Wood Transport ,1.0,500.0,500.0,2025-12-30,Roof Concreting,2nd Floor,74.0
1/12 Wood Rental and Transport ,3.0,400.0,400.0,2025-12-30,Roof Concreting,2nd Floor,74.0
Supervising Contractor,1.0,1500.0,1500.0,2025-12-30,Roof Concreting,2nd Floor,74.0
Stone(6 wheel),1.0,8000.0,8000.0,2025-12-30,Roof Concreting,2nd Floor,74.0
Stone(6 wheel mini),1.0,6500.0,6500.0,2025-12-30,Roof Concreting,2nd Floor,74.0
Gas for Generator and Tea,1.0,1000.0,1000.0,2025-12-30,Roof Concreting,2nd Floor,74.0
Electrician ,1.0,300.0,300.0,2025-12-30,Roof Concreting,2nd Floor,74.0
Concrete Man,1.0,40000.0,40000.0,2025-12-30,Roof Concreting,2nd Floor,74.0
Food for Workers,1.0,2000.0,2000.0,2025-12-30,Roof Concreting,2nd Floor,74.0
Bubacarr Faye,1.0,5000.0,5000.0,2025-12-31,Roof Concreting,2nd Floor,74.0
Gas for Generator ,1.0,500.0,500.0,2025-12-31,Roof Concreting,2nd Floor,74.0
Gas for Generator ,1.0,500.0,500.0,2025-12-31,Roof Concreting,2nd Floor,74.0
Ali Salary,1.0,5500.0,5500.0,2026-01-07,Roof Concreting,2nd Floor,74.0
Ali Watering Rooftop,1.0,2000.0,2000.0,2026-01-07,Roof Concreting,2nd Floor,74.0
Ali Bringing Down Woods and Acrojacks,1.0,3500.0,3500.0,2026-01-15,Roof Concreting,2nd Floor,74.0
Roof Materials Transport ,1.0,10000.0,10000.0,2026-01-15,Roof Concreting,2nd Floor,74.0
Plywood Rental 2Days Extension ,60.0,20.0,3600.0,2026-01-18,Roof Concreting,2nd Floor,74.0
2/3 Wood Rental 2Days Extension ,375.0,5.0,5625.0,2026-01-18,Roof Concreting,2nd Floor,74.0
Acrojack Rental 2Days Extension ,475.0,2.5,3565.0,2026-01-18,Roof Concreting,2nd Floor,74.0
Carpenter Sana Payment ,1.0,1500.0,1500.0,2026-01-20,Roof Concreting,2nd Floor,74.0
Bubacarr Faye Payment ,1.0,12000.0,12000.0,2026-01-22,Roof Concreting,2nd Floor,74.0
Ali moving the Woods  to the Room,1.0,481.0,481.0,2026-01-22,Roof Concreting,2nd Floor,74.0
