item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Cement ,50,400.0,20000.0,2024-09-18,Construction,1st Floor,71.2
Binding Wire(Bundle),2,500.0,1000.0,2024-09-18,Construction,1st Floor,71.2
Cement Transport ,50,20.0,1000.0,2024-09-18,Construction,1st Floor,71.2
Iron Rod(10mm),120,340.0,40800.0,2024-09-19,Construction,1st Floor,71.2
Iron Rod(6mm),80,150.0,12000.0,2024-09-19,Construction,1st Floor,71.2
Iron Rod Transport,1,1200.0,1200.0,2024-09-19,Construction,1st Floor,71.2
Asphalt Stones(10 wheel),1,46000.0,46000.0,2024-09-19,Construction,1st Floor,71.2
Sand (10 Wheel),1,7500.0,7500.0,2024-09-20,Construction,1st Floor,71.2
Generator Repair,1,900.0,900.0,2024-09-28,Construction,1st Floor,71.2
Momo Waggeh Salary(Oct),1,4000.0,4000.0,2024-09-30,Construction,1st Floor,71.2
Nail(kg),2,100.0,200.0,2024-09-30,Construction,1st Floor,71.2
12mm Plywood ,2,1350.0,2700.0,2024-10-19,Construction,1st Floor,71.2
Soft Plywood 6m,1,950.0,950.0,2024-10-19,Construction,1st Floor,71.2
"Nail(kg) 2 1/2""",1,100.0,100.0,2024-10-19,Construction,1st Floor,71.2
"Nail(kg) 2""",1,100.0,100.0,2024-10-19,Construction,1st Floor,71.2
"Nail(kg) 3""",2,100.0,200.0,2024-10-19,Construction,1st Floor,71.2
1x2 Wood,15,100.0,1500.0,2024-10-19,Construction,1st Floor,71.2
1x6 Wood,4,350.0,1400.0,2024-10-19,Construction,1st Floor,71.2
Wood Transport ,1,300.0,300.0,2024-10-19,Construction,1st Floor,71.2
Gas for the Generator ,1,400.0,400.0,2024-10-21,Construction,1st Floor,71.2
Lock for Storage Room,1,400.0,400.0,2024-10-21,Construction,1st Floor,71.2
5 Bags Brick Molding ,1,1000.0,1000.0,2024-10-21,Construction,1st Floor,71.2
Cement,25,400.0,10000.0,2024-10-24,Construction,1st Floor,71.2
Cement Transport ,25,20.0,500.0,2024-10-24,Construction,1st Floor,71.2
Oil for Pilar Mold,1,150.0,150.0,2024-10-24,Construction,1st Floor,71.2
Cement ,15,400.0,6000.0,2024-10-26,Construction,1st Floor,71.2
Cement Transport ,15,20.0,300.0,2024-10-26,Construction,1st Floor,71.2
Sand(Single),1,3000.0,3000.0,2024-10-28,Construction,1st Floor,71.2
Bani Israel,14,200.0,2800.0,2024-10-28,Construction,1st Floor,71.2
Pilar Mold + Bani Israel Transport,1,1500.0,1500.0,2024-10-28,Construction,1st Floor,71.2
Tea for Workers,1,200.0,200.0,2024-10-28,Construction,1st Floor,71.2
